location,data
Singapore,"1. Passengers traveling as short-term visitors are not allowed to transit or enter Singapore. 
-This does not apply to returning residents of Singapore (Singapore Citizens, Permanent Residents or Long-Term Pass Holders(including holders of Work Pass, Student's Pass, Dependant's Pass, and Long-Term Visit Pass)). If they have been in Hubei Province (China People's Rep.) within the last 14 days, they will be quarantined for 14 days upon entry into Singapore. For others, they will be issued a 14-day Stay-Home-Notice (SHN) upon entry into Singapore.
- This does not apply to passengers with a letter titled ""WAIVER OF RESTRICTION ON SHORT-TERM VISITORS FROM ENTRY INTO SINGAPORE BASED ON MEDICAL GROUNDS"" issued by the Singapore Ministry of Health. The waiver must be valid for 14 days from the date of approval and is valid for one time use only. Those passengers are still subject to the Immigration and Checkpoints Authority (ICA) 's prevailing entry requirements and screening at the checkpoints.
2. Long-Term Visit Pass (issued by Immigration and Checkpoints Authority) holders and Long-Term Visit Pass In-Principle Approval (issued by Immigration and Checkpoints Authority) holders, will only be allowed entry if they have an Approval Letter of Entry (ALE) from Immigration and Checkpoints Authority (ICA). 
3. All Student's Pass holders and Student's Pass In-Principle Approval holders, will only be allowed entry if they have an Approved Letter for Entry (ALE) from the Ministry of Education (MOE). 
4. New and existing work pass holders are only allowed to enter Singapore with the Ministry of Manpower's (MOM) prior approval. They are required to show the MOM's approval letter to airline staff upon check-in and before boarding, as well as to the Immigration & Checkpoint Authority (ICA) officers at the immigration checkpoint upon their arrival in Singapore. 
5. Short-term visitors with an Approval Letter of Entry (ALE) from either Immigration and Checkpoints Authority (ICA), or the Ministry of Health (MOH), will not be subjected to the above restrictions. However, they may still be subjected to the prevailing health screening requirements upon arriving at a Singapore airport. Possession of an Approval Letter of Entry (ALE) does not guarantee the issuance of a Visit Pass to enter Singapore. 
6. All travellers entering Singapore, including Singapore Citizens, Permanent Residents and Long-Term Pass (LTP) holders, must submit a health declaration before proceeding with immigration clearance. They will have to do so via the SG Arrival Card (SGAC) e-Service, at https://eservices.ica.gov.sg/sgarrivalcard or the mobile application that can be downloaded for free from Apple AppStore and Google Play. 
7. Airlines are requested to inform passengers at the various touchpoints (e.g. at check-in and before boarding at point of departure, in-flight) to submit their health declaration via the SGAC e-Service prior to their arrival in Singapore.
8. The paper-based embarkation/disembarkation card will be discontinued. As such, all airlines operating into Singapore can stop distributing these cards for all flights with scheduled time of arrival (STA) into Singapore on or after 27 March 2020, 0900 hours.
9. All returning residents, with travel history to Brunei Darussalam, Cambodia, France, India, Indonesia, Lao People's Dem. Rep., Malaysia, Myanmar, Philippines, Switzerland, Thailand, USA, United Kingdom or Viet Nam in the last 14 days, are required to serve out their mandatory 14-day Stay-Home Notice (SHN) at dedicated hotels.
10. Flight and cabin crew of foreign airlines, who are Singapore Citizens, Permanent Residents or long-term pass holders entering Singapore, will be issued with a Stay-Home Notice (SHN). Such crew with travel history to Brunei Darussalam, Cambodia, France, India, Indonesia, Lao People's Dem. Rep., Malaysia, Myanmar, Philippines, Switzerland, Thailand, USA, United Kingdom or Viet Nam within the last 14 days must serve the SHN at Crowne Plaza Changi Airport. Those who do not have travel history to the listed countries within the last 14 days may serve the SHN at their residence in Singapore. The SHN must be served until their next departure flight out of Singapore or for 14 days, whichever is earlier.
11. Flight and cabin crew of foreign airlines, who are not Singapore Citizens, Permanent Residents or long-term pass holders, will not be allowed to enter Singapore, or transit through Singapore. This does not apply to flights that require a layover due to flight time limitations or an aircraft-on-ground (AOG) situation in Singapore. In this case, airlines may layover their flight and cabin crew at Crowne Plaza Changi Airport. They will be issued with an SHN which shall be served until their next departure flight out of Singapore."
Sierra Leone,"Passengers who have transited through or have been in China (People's Rep.) in the past 14 days, will be subject to immediate quarantine."
Sint Maarten,"1. Passengers are not allowed to enter St. Maarten. 
-This does not apply to residents of St. Maarten or Saint Martin (FWI). They must hold a proof of residence, which can be a St. Maarten/ Saint Martin driving license or a St. Maarten ID/ Saint Martin carte d'identite or a St. Maarten/Saint Martin registration document.
-This does not apply to airline crew. 
-This does not apply to passengers who are specialists with evidence of traveling at the invitation of the Government of St. Maarten. 
2. Residents of St. Maarten must self-quarantine for 14 days. 
3. Airline crew that are overnighting must undergo a mandatory self-quarantine."
"Saint Helena, Ascension and Tristan da Cunha","1. Passengers are not allowed to enter St. Helena.
- This does not apply to passengers who reside in St. Helena.
- This does not apply to passengers with a long-term permit.
- This does not apply to temporary contractors.
- This does not apply to sponsor Technical Cooperation Officers.
- This does not apply to passengers to Ascension.
- This does not apply to persons authorized in advance by the Governor.
2. Self-isolation for 14 days is mandatory when entering St. Helena."
Senegal,Flights to Senegal are suspended until 31 May 2020.
Somalia,"1. Passengers who have been in China (People's Rep.) in the past 14 days are not allowed to enter Somalia.

2. Residents of Somalia who have been in China (People's Rep) are subject to immediate quarantine for a maximum of 14 days."
Trinidad and Tobago,"Airports in Trinidad and Tobago are closed until 30 April 2020.
- This does not apply if permitted by the Minister with responsibility for national security."
Tuvalu,Tuvalu's borders are closed.
Taiwan,"1. Passengers are not allowed to transit Chinese Taipei until 30 April 2020. 
2. Passengers are not allowed to enter Chinese Taipei.
- This does not apply to passengers with a Chinese Taipei (on the cover: Republic of China Taiwan) passport.
- This does not apply to passengers with an Alien Resident Certificate.
- This does not apply to personnel on diplomatic or official business.
- This does not apply to passengers who can prove they are fulfilling commercial and contractual obligations, or passengers requiring special permission. 
- This does not apply to passengers with a visa with ""SPECIAL ENTRY PERMIT FOR COVID-19 OUTBREAK"" stated on remarks. 
3. Passengers allowed to enter must observe a 14-day home quarantine upon arrival."
"Tanzania, United Republic of","1. All passengers and airline crew must undergo quarantine for 14 days at their own expense.

2. A completed ""Health Form"" must be presented to the Ministry of Health personnel upon arrival."
Ukraine,Flights to Ukraine are suspended until 24 April 2020.
Uganda,"All international flights to Uganda are suspended until 24 April 2020.
- This does not apply to:
1. Aircraft in a state of emergency.
2. Operations related to humanitarian aid, medical and relief flights.
3. Technical landings where passengers do not disembark.
4. Any other flight that may be so approved by the appropriate authority."
Uruguay,"1. Passengers are not allowed to enter Uruguay. 
- This does not apply to nationals and residents of Uruguay.
- This does not apply to accredited diplomats. 
2. Passengers are not allowed to transit through Uruguay.
- This does not apply to nationals and residents of Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Paraguay, Peru, Uruguay and Venezuela transiting through Montevideo (MVD) or Punta del Este (PDP).
3. Nationals and residents of Uruguay, airline crew and accredited diplomats will be placed in quarantine for 14 days. 
4. Passengers can only land at Montevideo (MVD) and Punta del Este (PDP).
5. Flights from Europe to Uruguay are suspended until 19 April 2020."
Uzbekistan,Flights to Uzbekistan are suspended.
Saint Vincent and the Grenadines,"Passengers who have been in China (People's Rep.), Hong Kong (SAR China), Japan, Korea (Rep.), Macao (SAR China) or Singapore in the past 14 days will not be allowed to enter St. Vincent and the Grenadines."
"Virgin Islands, British",All airports are closed until 1 June 2020. International crew members on incoming vessels will be required to remain within the port facility and comply with public health measures in effect.
"Virgin Islands, U.S.",Passengers are not allowed to enter Virgin Isl. (USA) until 24 April 2020.
Austria,"1. Passengers arriving from a non-Schengen Member State are not allowed to enter Austria. 
- This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and Switzerland. 
- This does not apply to passengers with a British passport. 
- This does not apply to residents of Austria. 
- This does not apply to passengers with a D visa issued by Austria. 
- This does not apply to passengers with a medical certificate dated from a maximum of 4 days before their arrival in Austria. The medical certificate must confirm that the person is not affected by Coronavirus (COVID-19), and be in German or in English. 
- This does not apply to:
a. passengers traveling on diplomatic missions and their family members if living in the same household, and
b. employees of international organisations and their family members if living in the same household, and
c. humanitarian workers, and 
d. healthcare professionals, and
e. transport personnel including crew engaged in transport of goods, and
f. crew members of emergency, rescue/ambulance or ferry flights. 
2. Nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and Switzerland must self-quarantine for 14 days and this must be confirmed by signature. This does not apply if their immediate departure is ensured. 
3. Passengers with a British passport must self-quarantine for 14 days and this must be confirmed by signature. This does not apply if their immediate departure is ensured.
4. Residents of Austria and passengers with a D visa issued by Austria must self-quarantine for 14 days and this must be confirmed by signature. This does not apply if their immediate departure is ensured."
Bangladesh,"1. The visa on arrival facility has been suspended for all nationalities.
2. All international flights arriving from Bahrain, Bhutan, Hong Kong (SAR China), India, Kuwait, Malaysia, Maldives, Oman, Qatar, Saudi Arabia, Sri Lanka, Singapore, Thailand, Turkey, United Arab Emirates or United Kingdom are suspended until 30 April 2020.
3. Passengers who have been Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland since the 1 March 2020 are not allowed to enter Bangladesh until 30 April 2020.
- This does not apply to passengers traveling on diplomatic missions and their family members. 
4. Nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and Switzerland who reside outside the EU region or Iran since 29 February 2020 can travel to Bangladesh. They must have a visa.
5. Passengers who have a valid visa must show a medical certificate (with English translation) obtained within 72 hours of travel. The medical certificate must be submitted upon arrival and must indicate that the passenger does not have any symptoms of COVID-19.
6. Passengers with Bangladesh origin who do not submit a medical certificate stating that the passenger does not have any symptoms of COVID-19, will be institutionally quarantined in Dhaka for 14 days.
7. Passengers with Bangladesh origin who submits a medical certificate stating that the passenger does not have any symptoms of COVID-19, will be home quarantined in Dhaka for 14 days. If the medical certificate shows that the passenger has symptoms of COVID-19, they will be institutionally quarantined in Dhaka for 14 days."
Bosnia and Herzegovina,"Passengers are not allowed to enter Bosnia and Herzegovina.
- This does not apply to nationals and residents of Bosnia and Herzegovina.
- This does not apply to diplomatic and consular staff accredited in Bosnia and Herzegovina.
- This does not apply to civil servants coming for employment.
- This does not apply to passengers in need of emergency medical treatment.
- This does not apply to cross-border workers.
- This does not apply to civilian protection services and teams.
- This does not apply to military forces of the NATO and other states participating in the partnership for Peace; and to NATO and EUFOR headquarters in Bosnia and Herzegovina.
- This does not apply to heads of state and members of their delegations whose arrival and departure has been announced by the competent authority.
- This does not apply to passengers in transit to return to the country of residence.
- This does not apply to passengers with a special permit to stay or transit in Bosnia and Herzegovina."
Kuwait,"Flights to Kuwait are suspended.
- This does not apply to cargo, diplomatic, humanitarian or repatriation flights approved by the DGCA Air Transport Department.
- This does not apply to aircraft operated by Kuwait Air Force, Kuwait Police Wing and Kuwait Ameri Flight.
- This does not apply to aircraft exempted by the authority.
1. Passengers arriving from China (People's Rep.), Egypt, France, Germany, Hong Kong (SAR China), Iran, Iraq, Italy, Korea (Rep.), Spain, USA or United Kingdom are required to undergo 14 days compulsory quarantine. 
2. Passengers arriving from a country other than China (People's Rep.), Egypt, France, Germany, Hong Kong (SAR China), Iran, Iraq, Italy, Korea (Rep.), Spain, USA or United Kingdom required to self-quarantine for 14 days."
Vanuatu,Vanuatu ports of entry are closed.
Zambia,"1. All flights must arrive at Kenneth Kaunda International Lusaka Airport (LUN).
2. Passengers and airline crew must quarantine for at least 14 days at their own costs."
United Arab Emirates,"1. Flights to United Arab Emirates are suspended from 24 March 2020 23:59 Local Time until further notice.
- This does not apply to the following:
a) aircraft operated for the purpose of evacuation (this Safety Decision does not alleviate the need for obtaining necessary authorisation from UAE Ministry of Foreign Affairs and International Cooperation);
b) UAE registered aircraft that are out of base on 24 March 2020 23:59 Local Time will be allowed to return to base carrying only UAE nationals and operator's crewmembers;
c) domestic flights;
d) over-flights. 
2. ALL Evacuation flights must have PAX APP data and Crew APP data; ALL ferry flights must have crew APP data."
Kosovo,"1. Passengers are not allowed to enter Kosovo (Rep.).
- This does not apply to nationals of Kosovo (Rep.), 
- This does not apply to diplomats accredited to Kosovo (Rep.). 
- This does not apply to representatives of the NATO-Kosovo Force (KFOR) and the European Union Rule of Law Mission in Kosovo (EULEX). 
2. Passengers allowed to enter Kosovo (Rep.) are subject to mandatory quarantine for 14 days."
South Africa,"Flights to South Africa are suspended until further notice.
- This does not apply to:
a. Nationals of South Africa who will be subject to quarantine for up to 21 days;
b. Airline crew who will be subject to quarantine laws as applicable;
c. Flights authorized by the Ministry of Transport;
d. Medical evacuation;
e. Aircraft in state of emergency;
f. Overflight aircraft which need to refuel;
g. Aircraft operations related to humanitarian aid, relief flights and other safety-related operations."
"Bonaire, Sint Eustatius and Saba","Passengers arriving from Austria, Belgium, Bulgaria, Canada, China (People's Rep.), Colombia, Croatia, Cyprus, Czechia, Denmark, Dominican Rep., Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom or USA are not allowed to enter Bonaire, St. Eustatius and Saba. 
- This does not apply to medical staff and patients who are transferred in the interest of public health on Bonaire, St. Eustatius and Saba."
Croatia,"1. Passengers are prohibited from crossing the borders of Croatia until 18 April 2020.
- This does not apply to nationals of Croatia and their family members and to those going to a country where they work and live.
- This does not apply to nationals of the EU, Schengen Member States and the Schengen Associated States, passengers from the United Kingdom, and their family members, if they are returning via Croatia to their country of residence.
- This does not apply to passengers with a long-term resident permit or a long-term visa issued by a Schengen Member State and the persons deriving their right to reside from other EU Directives or national law or who hold national long-term visas, if they are returning via Croatia to their country of residence.
- This does not apply to healthcare professionals, healthcare researchers and collaborators, experts in care for the elderly, and persons requiring urgent medical treatment. 
- This does not apply to cross-border workers.
- This does not apply to diplomats, police officers in the performance of their activities, Civil Defence services and teams, international organizations staff and International military personnel in carrying out their functions.
- This does not apply to passengers in transit (including passengers in transit by air transport).
2. All passports and national ID cards issued to nationals of Croatia and which have expired on 11 March 2020 or later, are considered valid. This is due to the COVID-19 Pandemic. "
Maldives,"11. Velana Airport (MLE) is closed every day from 16:00 to 01:00.
2. All visas on arrival are suspended.
- This does not apply to passengers with a special permission granted by the Maldives government. 
3. Passengers traveling as tourists and airline crew who have been in Bangladesh, China (People's Rep.), Iran, Italy, Malaysia, Spain, Sri Lanka, United Kingdom or in North Gyeongsang and South Gyeongsang Provinces in Korea (Rep.), Ile-de-France and Grand Est (regions of France) and Bavaria, North Rhine Westphalia and Baden-Wuerttemberg (regions of Germany) in the past 14 days are not allowed to enter the Maldives. 
- This does not apply to nationals of Maldives and their spouses. 
4. Nationals and residents of Maldives will be subject to 14-day quarantine upon arrival. Carriers intending to carry nationals of Maldives on inbound flights shall seek prior approval from relevant authorities.
5. All passengers traveling to the Maldives for a purpose other than tourism will be quarantined for 14 days at a place designated by the Government.
6. A completed ""Health Declaration Card"" and an ""Immigration Arrival Card"" must be presented upon arrival."
Tunisia,"All flights to Tunisia are suspended.
- This does not apply to repatriation flights with a prior approval."
Poland,"Passengers are not allowed to enter Poland until 25 April 2020.
Entry into Poland is still allowed for:
1. Nationals of Poland, their spouses and children.
2. Passengers who are under permanent custody of nationals of Poland.
3. Passengers with a temporary or permanent residence permit.
4. Passengers who have the right to work in the territory of Poland, i.e. foreigners entitled to work under the same conditions as Polish citizens, possessing a work permit, seasonal work permit, a declaration of entrusting work to a foreigner on the territory of Poland,
5. Passengers with a Pole's Card.
6. Heads of diplomatic missions and members of the diplomatic and consular personnel of a mission (with a diplomatic rank).
7. In particularly justified cases, not included above, the commander of the Border Guard post, after obtaining the consent of the Chief of the Border Guard, may allow a foreigner to enter the territory of Poland in accordance with the procedure specified in the Act of 12 December 2013 on foreigners (Journal of Laws of 2020 item 35).

Flights to Poland are suspended until 25 April 2020. 
-This does not apply to flights with status HOSP, HUM, HEAD and other flights performed to save people's lives or health, flights to protect public order, emergency flights, flights at the order of the Prime Minister, flights performed by foreign air carriers at the order of foreign states to bring back their nationals."
China,"1. The mainland of China has decided to temporarily suspend the entry into the mainland of China by foreign nationals holding visas or residence permits still valid to the time of this announcement, effective from 00:00 local time, 28 March 2020. Entry by foreign nationals with APEC Business Travel Cards will be suspended as well. 
- Policies including port visas, 24/72/144-hour visa-free transit policy, Hainan 30-day visa-free policy, 15-day visa-free policy specified for foreign cruise-group-tour through Shanghai Port, Guangdong 144-hour visa-free policy specified for foreign tour groups from Hong Kong or Macao SAR, and Guangxi 15-day visa-free policy specified for foreign tour groups of ASEAN countries will also be temporarily suspended. Entry with diplomatic, service, courtesy or C visas will not be affected. 
- Foreign nationals coming to the mainland of China for necessary economic, trade, scientific or technological activities or out of emergency humanitarian needs may apply for visas at Chinese embassies or consulates. 
- Entry by foreign nationals with visas issued after this announcement will not be affected.
2. All passengers arriving at PEK will have a PCR test and be quarantined at the designated location in Beijing for 14 days. 
3. Passengers arriving at Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) must undergo a Nucleic Acid Test (NAT) and a 14-day quarantine in designated places for medical observation.
- This does not apply to airline crew members. 
4. Airline crew members with a layover in Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) must undergo Nucleic Acid Test (NAT) inside passenger terminal. They are permitted to self-isolate at hotel temporarily before acquiring the NAT result.
The crew whose COVID-19 testing result is positive will be isolated by the authorities at the nominated site for further medical treatment. Meanwhile, the carrier will be notified immediately.
If the crew is already away from Shanghai when the positive test result is available, the carrier will be informed by the authorities to take further action if necessary. 
5. Airline crew arriving at Shanghai Pudong (PVG) or Shanghai Hongqiao (SHA) will be quarantined after they finish their last shift of flight. During their shift breaks, they are required to stay in crew hotels for isolation. 
6. Passengers who live in or have been in France, Germany, Iran, Italy, Japan, Korea (Rep.), Spain or USA in the past 14 days arriving at Guangzhou (CAN) or Shenzhen (SZX) must undergo 14-day quarantine at home or in designated places for medical observation. All passengers arriving at SZX will have a PCR test.
7. All passengers arriving at XMN will be quarantined for medical observation at the designated hotels for 14 days on their own expenses.
- This does not apply to passengers under 18 years old, passengers above 70 years old, pregnant women and passengers suffering from illness. They must apply for permission to undergo a 14-day quarantine at home."
Luxembourg,"Passengers are not allowed to enter Luxembourg until the 17 April 2020.

- This does not apply to nationals of Luxembourg and their family members in order to return home.

- This does not apply to nationals of the European Union, Schengen Member States and the Schengen Associated States, passengers from the United Kingdom, and their family members in order to return home.

- This does not apply to passengers who have a long-term resident status in accordance with the European Directive 2003/109 / EC relating to long-term residents, as well as any other person who have a right of residence in accordance with European directives as well as national law in Grand Duchy of Luxembourg or one of the neighboring countries.

- This does not apply to healthcare professionals, health researchers and healthcare professionals to the elderly.

- This does not apply to cross-border workers.

- This does not apply to members of the diplomatic corps, personnel of international organizations, the military, personnel of the development cooperation and humanitarian aid, during the exercise of their respective functions.

- This does not apply to passenger travelling by land to their country of origin. They must have a proof of onward journey.

- This does not apply to passengers traveling for urgent and duly justified family reasons.

- This does not apply to passengers who want to apply for international protection or subsidiary protection in the Grand Duchy of Luxembourg or for other humanitarian reasons."
Russian Federation,"Passengers are not allowed to enter the Russian Fed. 
- This does not apply to nationals of the Russian Fed.; 
- This does not apply to accredited or appointed employees of diplomatic missions, consular offices, international organizations located in Russian Fed. and their family members;
- This does not apply to airline crew;
- This does not apply to members of official delegations;
- This does not apply to travelers with diplomatic, business or normal visas issued in connection with the death of a close relative, as well as visas issued by special decision of the Russian Ministry of Foreign Affairs;
- This does not apply to passengers from visa-free countries coming in connection with the death of a close relative, having copies of death certificate, as well as a document confirming family relations;
- This does not apply to passengers who are family members (spouses, parents, kids, adoptive parents, adopted), guardians and trustees of citizens of the Russian Fed., subject to the presentation of a copy of a document confirming the relationship status;
- This does not apply to passengers permanently residing in the Russian Fed., as well as transiting through airports without entering the Russian Fed."
Indonesia,"1. Passengers are not allowed to transit or enter Indonesia.
- This does not apply to nationals of Indonesia.
- This does not apply to passengers with a Temporary Stay Permit (ITAS) or Permanent Stay Permit (ITAP).
- This does not apply to airline crew.
- This does not apply to the following passengers:
a. passengers with a Diplomatic Visa or Service Visa.
b. passengers with a Diplomatic Stay Permit or Service Stay Permit.
c. medical Aid Workers or Food Sustenance Workers for Humanitarian Purposes.
d. foreigners/Expatriates working on strategic national projects.
2. Passengers who are eligible to enter Indonesia (except nationals of Indonesia) must comply with the following requirements:
- have a valid health certificate in English issued by Health Authority from respective country. It must be valid within 7 days and state the passenger is free from respiratory disease, and
- have no travel history in the last 14 days from China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.), Spain, Switzerland, United Kingdom and Vatican City (Holy See), and
- agree for self-quarantine for 14 days and fill in statement of compliance on arrival."
Sri Lanka,"1. All airports in Sri Lanka are closed.
- This does not apply to:
a. Aircraft departures with passengers originating from Colombo, stop overs, transit passengers or visiting tourists;
b. Emergency diversions;
c. Humanitarian flights;
d. Technical landing.
2. A completed Health Declaration Form must be presented to the public health inspectors or any other authorized officials upon arrival. 
3. Airline crew must self-quarantine at the location mentioned in the Health Declaration Form and have meals only through in-room dining until they operate the next flight. They must follow strict procedures and hygienic measures adopted by the Government of Sri Lanka.
4. Visas and ETAs issued by Sri Lanka have been invalidated."
Serbia,"1. Passengers are not allowed to enter Serbia.
- This does not apply to nationals of Serbia. 
- This does not apply to residents of Serbia.
- This does not apply to accredited diplomats and passengers with a special permission issued by the Ministry of Health, the Ministry of Foreign Affairs, the Ministry of Interior or the Ministry of Construction, Transport and Infrastructure. 
2. Nationals and residents of Serbia arriving from any country are required to self-isolate for a period of 14 days. 
- This does not apply when arriving from Austria, France, Germany, Greece, Iran, Italy, Romania, Slovenia, Spain or Switzerland.
3. Nationals and residents of Serbia arriving from Austria, France, Germany, Greece, Iran, Italy, Romania, Slovenia, Spain or Switzerland are required to self-isolate for a period of 28 days."
Tonga,"1. Passengers and airline crew arriving from or transiting through China (People's Rep.), Chinese Taipei, Hong Kong (SAR China) or Macao (SAR China) are not allowed to enter Tonga. This does not apply if they have stayed in a country with no confirmed cases of Coronavirus (COVID-19) for a period of minimum 14 days before entering Tonga. They must have an official medical clearance undertaken within 3 days prior to arrival in Tonga.

- This does not apply to nationals of Tonga and their immediate family members.

- This does not apply to permanent residents of Tonga and their immediate family members.

- This does not apply to airline crew on direct flights from China (People's Rep.) who have been using appropriate personal protective equipment (PPE).

2. Passengers must complete a 'Traveler's Arrival Health Declaration Card' and submit it to the Ministry of Health Border Control when arriving in Tonga."
Cambodia,"1. All visa exemptions, visas on arrival and e-visas are suspended until 30 April 2020.
2. All foreigners must:
a. have a medical certificate, issued by competent health authorities of their country no more than 72 hours prior to the date of travel, certifying that they are not tested positive for the Coronavirus (COVID - 19); and
b. have proof of insurance policy with minimum medical coverage of fifty thousand US dollars.
- This does not apply to passengers with diplomatic visa (Visa A) or official visa (Visa B) issued by Cambodia.
3. Passengers upon arrival will be subject to a health risk assessment and screened by the government. They will also be subject to a mandatory isolation/quarantine.
4. Passengers arriving from France, Germany, Iran, Italy, Spain or USA are not allowed to enter Cambodia. 
- This does not apply to nationals and residents of Cambodia. 
5. Nationals and residents of Cambodia, diplomats and officials of foreign embassies and international organizations and their family members who have a Diplomatic Visa Type A and Official Visa Type B who live or have been in France, Germany, Iran, Italy, Spain or USA in the past 14 days will be quarantine for 14 days. 
- This does not apply to airline crew."
Gibraltar,"Passengers are not allowed to enter Gibraltar.
- This does not apply to passengers with a British passport with nationality ""British Overseas Territories Citizen"" issued by Gibraltar.
- This does not apply to passengers with a British passport born in Gibraltar.
- This does not apply to British nationals with a national ID card issued by Gibraltar.
- This does not apply to residents of Gibraltar.
- This does not apply to merchant seamen with an Immigration pre-clearance letter issued by the Borders and Coastguards Agency.
- This does not apply to nationals of Spain on their way to Spain.
- This does not apply to residents of Spain on their way to Spain.
- This does not apply to passengers who are taking up employment or carrying out a work activity in Gibraltar.
- This does not apply to military personnel with a travel order issued by NATO or the United Kingdom.
- This does not apply to passengers with an authorization letter issued by the Borders and Coastguards Agency."
Turkmenistan,"1. Flights to Turkmenistan are suspended until 20 May 2020.
- This does not apply to repatriation flights of nationals and residents of Turkmenistan.
2. Passengers are required to have a health report from the health organizations of the country they are arriving from. The report must show that they have undergone the Coronavirus (COVID-19) check and been tested negative."
Hong Kong,"1. Passengers are not allowed to transit or enter Hong Kong SAR, China.
- This does not apply to passengers with a Hong Kong SAR, China passport.
- This does not apply to passengers with a British passport with nationality ""British National (Overseas)"" with the right of abode in Hong Kong SAR, China.
- This does not apply to residents of Hong Kong SAR, China with a Permanent Identity Card.
- This does not apply to residents of Hong Kong SAR, China with a Identity card accompanied by a valid work or study visa.
- This does not apply to passengers who have only been in the mainland of China, Chinese Taipei or Macao SAR, China in the past 14 days.
- This does not apply to residents of Macao SAR, China who are registered the Macao SAR, China scheme that they will be immediately taken by coach back to Macao SAR, China upon entry.
- This does not apply to the following passengers:
a. Passengers travelling from the mainland of China or Chinese Taipei or Macao SAR, China and have not been to any other country/region in the past 14 days;
b. Crew members of aircraft who need to commute to and from foreign places for performance of necessary duties or crew members of goods vessels;
c. Government officials carrying out government duties including personnel of consular posts;
d. Spouses and minor children of Hong Kong SAR, China residents;
e. Personnel engaged in anti-epidemic work endorsed by the HKSAR Government.
2. All passengers who are eligible to enter Hong Kong SAR, China will be required to undergo 14 days compulsory quarantine.
3. All arriving passengers and crew members must present a completed Health Declaration Form to the Department of Health upon arrival."
